IP地址,端口,TLS,数据中心,地区,城市,网络延迟,速度(MB/s)
141.144.192.36,443,TRUE,FRA★,Europe,Frankfurt,198 ms,8.79
193.123.33.46,443,TRUE,FRA★,Europe,Frankfurt,260 ms,8.79
141.144.192.172,443,TRUE,FRA★,Europe,Frankfurt,237 ms,8.79
8.222.226.103,443,TRUE,SIN★,Asia Pacific,Singapore,236 ms,8.79
129.153.223.37,443,TRUE,LAX★,North America,Los Angeles,216 ms,8.79
8.219.128.5,443,TRUE,SIN★,Asia Pacific,Singapore,127 ms,8.79
193.123.33.167,443,TRUE,FRA★,Europe,Frankfurt,223 ms,8.79
144.24.86.158,443,TRUE,ICN★,Asia Pacific,Seoul,125 ms,8.79
141.148.238.1,443,TRUE,FRA★,Europe,Frankfurt,332 ms,8.79
8.219.73.178,443,TRUE,SIN★,Asia Pacific,Singapore,104 ms,8.79
8.222.150.244,443,TRUE,SIN★,Asia Pacific,Singapore,230 ms,8.79
8.222.210.183,443,TRUE,SIN★,Asia Pacific,Singapore,226 ms,8.79
158.180.69.87,443,TRUE,SIN★,Asia Pacific,Singapore,142 ms,8.79
193.122.97.248,443,TRUE,ICN★,Asia Pacific,Seoul,87 ms,8.79
141.148.238.147,443,TRUE,FRA★,Europe,Frankfurt,222 ms,8.79
141.144.255.54,443,TRUE,FRA★,Europe,Frankfurt,318 ms,8.79
144.21.32.165,443,TRUE,FRA★,Europe,Frankfurt,321 ms,8.79
138.2.122.55,443,TRUE,SIN★,Asia Pacific,Singapore,353 ms,8.79
8.222.249.129,443,TRUE,SIN★,Asia Pacific,Singapore,237 ms,8.79
8.219.134.174,443,TRUE,SIN★,Asia Pacific,Singapore,147 ms,8.79
141.144.200.167,443,TRUE,FRA★,Europe,Frankfurt,218 ms,8.79
130.162.233.200,443,TRUE,FRA★,Europe,Frankfurt,298 ms,8.79
8.219.63.198,443,TRUE,SIN★,Asia Pacific,Singapore,115 ms,8.79
141.144.205.24,443,TRUE,FRA★,Europe,Frankfurt,225 ms,8.79
193.123.38.208,443,TRUE,FRA★,Europe,Frankfurt,219 ms,8.79
140.238.5.32,443,TRUE,ICN★,Asia Pacific,Seoul,84 ms,8.79
140.238.126.247,443,TRUE,FRA★,Europe,Frankfurt,213 ms,8.79
129.154.212.68,443,TRUE,SIN★,Asia Pacific,Singapore,131 ms,8.79
144.24.84.89,443,TRUE,SIN★,Asia Pacific,Singapore,353 ms,8.79
8.219.2.235,443,TRUE,SIN★,Asia Pacific,Singapore,96 ms,8.79
158.101.87.55,443,TRUE,SIN★,Asia Pacific,Singapore,231 ms,8.79
141.147.96.65,443,TRUE,FRA★,Europe,Frankfurt,296 ms,8.79
193.123.183.24,443,TRUE,FRA★,Europe,Frankfurt,297 ms,8.79
146.56.101.141,443,TRUE,ICN★,Asia Pacific,Seoul,106 ms,8.79
144.24.78.162,443,TRUE,ICN★,Asia Pacific,Seoul,103 ms,8.79
8.219.70.246,443,TRUE,SIN★,Asia Pacific,Singapore,110 ms,8.79
158.180.65.145,443,TRUE,ICN★,Asia Pacific,Seoul,115 ms,8.79
143.47.183.1,443,TRUE,FRA★,Europe,Frankfurt,325 ms,8.79
8.219.140.25,443,TRUE,SIN★,Asia Pacific,Singapore,356 ms,8.79
152.70.177.71,443,TRUE,FRA★,Europe,Frankfurt,241 ms,8.79
141.148.226.21,443,TRUE,FRA★,Europe,Frankfurt,219 ms,8.79
8.219.254.241,443,TRUE,SIN★,Asia Pacific,Singapore,142 ms,8.79
8.222.234.139,443,TRUE,SIN★,Asia Pacific,Singapore,226 ms,8.79
141.144.246.71,443,TRUE,FRA★,Europe,Frankfurt,291 ms,8.79
152.70.26.153,443,TRUE,FRA★,Europe,Frankfurt,327 ms,8.79
141.147.46.129,443,TRUE,FRA★,Europe,Frankfurt,218 ms,8.79
140.238.9.27,8443,TRUE,ICN★,Asia Pacific,Seoul,66 ms,8.79
141.145.205.115,8443,TRUE,CDG★,Europe,Paris,241 ms,8.79
132.145.54.84,8443,TRUE,LHR★,Europe,London,233 ms,8.79
129.151.198.3,8443,TRUE,ARN★,Europe,Stockholm,257 ms,8.79
131.186.27.112,2096,TRUE,ICN★,Asia Pacific,Seoul,82 ms,8.79
130.61.203.115,2053,TRUE,FRA★,Europe,Frankfurt,305 ms,8.79
132.145.54.84,2053,TRUE,LHR★,Europe,London,310 ms,8.79
129.151.198.3,2053,TRUE,ARN★,Europe,Stockholm,232 ms,8.79
152.70.155.147,2053,TRUE,LAX,North America,Los Angeles,236 ms,8.79
140.238.9.27,8443,TRUE,ICN★,Asia Pacific,Seoul,75 ms,8.79
131.186.27.112,2096,TRUE,ICN★,Asia Pacific,Seoul,83 ms,8.79
140.238.9.27,8443,TRUE,ICN★,Asia Pacific,Seoul,68 ms,8.79
141.145.205.115,8443,TRUE,CDG★,Europe,Paris,210 ms,8.79
141.147.16.152,8443,TRUE,FRA★,Europe,Frankfurt,294 ms,8.79
