IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
141.144.246.71,443,true,FRA,Europe,Frankfurt,291 ms,8826 kB/s
152.70.26.153,443,true,FRA,Europe,Frankfurt,327 ms,8805 kB/s
141.147.46.129,443,true,FRA,Europe,Frankfurt,218 ms,8788 kB/s
144.24.73.232,443,true,ICN,Asia Pacific,Seoul,144 ms,3640 kB/s
8.219.223.95,443,true,SIN,Asia Pacific,Singapore,114 ms,3631 kB/s
140.238.23.148,443,true,ICN,Asia Pacific,Seoul,89 ms,3620 kB/s
8.219.72.38,443,true,SIN,Asia Pacific,Singapore,99 ms,3553 kB/s
132.226.171.31,443,true,SIN,Asia Pacific,Singapore,188 ms,3493 kB/s
8.222.242.115,443,true,SIN,Asia Pacific,Singapore,243 ms,3449 kB/s
138.2.175.76,443,true,FRA,Europe,Frankfurt,307 ms,3433 kB/s
64.110.76.50,443,true,SIN,Asia Pacific,Singapore,188 ms,3380 kB/s
193.123.60.138,443,true,FRA,Europe,Frankfurt,237 ms,3328 kB/s
193.122.125.111,443,true,SIN,Asia Pacific,Singapore,126 ms,3323 kB/s
192.9.158.188,443,true,SJC,North America,San Jose,228 ms,3316 kB/s
138.2.137.11,443,true,FRA,Europe,Frankfurt,322 ms,3286 kB/s
152.67.102.137,443,true,SYD,Oceania,Sydney,196 ms,3268 kB/s
138.2.144.101,443,true,FRA,Europe,Frankfurt,221 ms,3203 kB/s
143.47.179.71,443,true,FRA,Europe,Frankfurt,246 ms,3103 kB/s
158.101.209.76,443,true,AMS,Europe,Amsterdam,218 ms,3097 kB/s
144.21.36.45,443,true,FRA,Europe,Frankfurt,194 ms,3089 kB/s
138.2.150.70,443,true,FRA,Europe,Frankfurt,296 ms,3063 kB/s
193.123.254.17,443,true,SIN,Asia Pacific,Singapore,225 ms,3059 kB/s
8.219.137.222,443,true,SIN,Asia Pacific,Singapore,121 ms,3036 kB/s
132.145.116.185,443,true,NRT,Asia Pacific,Tokyo,277 ms,2857 kB/s
158.101.151.41,443,true,NRT,Asia Pacific,Tokyo,189 ms,2632 kB/s
146.56.119.88,443,true,ICN,Asia Pacific,Seoul,112 ms,2619 kB/s
138.3.245.49,443,true,FRA,Europe,Frankfurt,317 ms,2612 kB/s
143.47.187.50,443,true,FRA,Europe,Frankfurt,248 ms,2590 kB/s
152.70.53.210,443,true,FRA,Europe,Frankfurt,320 ms,2546 kB/s
8.219.169.154,443,true,SIN,Asia Pacific,Singapore,146 ms,2540 kB/s
144.21.60.100,443,true,FRA,Europe,Frankfurt,206 ms,2504 kB/s
141.144.255.230,443,true,FRA,Europe,Frankfurt,327 ms,2435 kB/s
8.220.204.23,443,true,ICN,Asia Pacific,Seoul,95 ms,2381 kB/s
193.123.176.43,443,true,FRA,Europe,Frankfurt,314 ms,2315 kB/s
8.219.166.186,443,true,SIN,Asia Pacific,Singapore,118 ms,2233 kB/s
138.3.254.39,443,true,FRA,Europe,Frankfurt,356 ms,2199 kB/s
138.2.138.63,443,true,FRA,Europe,Frankfurt,248 ms,2187 kB/s
193.123.36.11,443,true,FRA,Europe,Frankfurt,241 ms,2068 kB/s
47.74.42.114,443,true,NRT,Asia Pacific,Tokyo,85 ms,1838 kB/s
8.219.78.106,443,true,SIN,Asia Pacific,Singapore,99 ms,1829 kB/s
130.162.235.0,443,true,FRA,Europe,Frankfurt,280 ms,1812 kB/s
152.69.233.251,443,true,SIN,Asia Pacific,Singapore,353 ms,1735 kB/s
193.123.254.53,443,true,SIN,Asia Pacific,Singapore,354 ms,1421 kB/s
138.2.113.182,443,true,SIN,Asia Pacific,Singapore,353 ms,1327 kB/s
140.238.33.161,443,true,NRT,Asia Pacific,Tokyo,249 ms,1059 kB/s
47.57.13.107,443,true,HKG,Asia Pacific,Hong Kong,79 ms,1014 kB/s
